Administrative Unit	Households	Total Population (1998)	Total Population (2017)	Annualized Growth	Share in Total Population
Khyber Pakthunkhwa	3,845,168	17,743,645	30,523,371	2.89%	14.69%
Tribal Areas	558,379	3,176,331	5,001,676	2.41%	2.41%
Sindh	8,585,610	30,439,893	47,886,051	2.41%	23.04%
Punjab	17,103,835	73,621,290	110,012,442	2.13%	52.95%
Balochistan	1,775,937	6,565,885	12,344,408	3.37%	5.94%
Islamabad Capital Territory	336,182	805,236	2,006,572	4.91%	0.97%
PAKISTAN	32,205,111	132,352,279	207,774,520	2.40%	100%
Azad Jammu and Kashmir	TBA	TBA	4,045,366	TBA	TBA
Gilgit-Baltistan	TBA	TBA	922,745	TBA	TBA
PAKISTAN (incl: AJK, GB)	TBA	TBA	212,742,631	TBA	N/A
